Absolute path on the bench server (e.g. /var/backups/frappe/my-site). Must be writable by the Frappe process user.,Frappe — بند واجهة
Accounting,المحاسبة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Actions,إجراءات
Administrator,المسؤول
Agriculture,الزراعة
AI & Intelligence,الذكاء الاصطناعي والتحليلات
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
ALM,إدارة الأصول والخصوم
Asset Insurance,تأمين الأصول
Assigned To,مُسند إلى
Assigned To Me,المُسند إليّ
Attachments,المرفقات
Audit,التدقيق
Backup folder,بند واجهة
Backup folder must be an absolute path.,يجب أن بند واجهة بند واجهة.
Backup has been queued. Check Omnexa Backup Policy for status.,Omnexa — بند واجهة
Backup time is mandatory for Daily/Weekly schedule.,بند واجهة
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
Billing & collections,الفوترة والتحصيل
Bookings & registration,الحجوزات والتسجيل
BOQ,جدول الكميات
Branch,الفرع
Budget & cost control,الميزانية وضبط التكلفة
Buy,المشتريات
CAM & recoveries,المصاريف المشتركة والاستردادات
CAM Budget,ميزانية المصاريف المشتركة
Campaign ROI,عائد الحملة
Cancel,إلغاء
Car Rental,تأجير السيارات
Card Break,قسم
Change Ticket,تذكرة تغيير
Change Ticket is mandatory for backup policy governance.,بند واجهة
Chart,مخطط
Chart of Accounts,دليل الحسابات
Closed,مغلق
Comma-separated email addresses.,بند واجهة
Commission Accrual,استحقاق العمولات
Commission Schedule,جدول العمولات
Company,الشركة
Completed,مكتمل
Compliance checks complete,اكتملت فحوصات الامتثال
Compliance Exceptions,استثناءات الامتثال
Compliance Exceptions (IFRS),استثناءات الامتثال (IFRS)
Compliance Exceptions (Tax),استثناءات الامتثال (ضريبي)
Compliance Exceptions Dashboard,لوحة استثناءات الامتثال
Compliance Reports,تقارير الامتثال
Construction,المقاولات
Construction & Engineering,المقاولات والهندسة
Consumer Finance,التمويل الاستهلاكي
Core ERP,ERP الأساسي
Cost Center,مركز التكلفة
Country,الدولة
Create,إنشاء
Credit Engine,محرك الائتمان
Credit Risk,مخاطر الائتمان
CRM,إدارة العملاء
Cross-module operations,عمليات متكاملة
Currency,العملة
Custom Documents,المستندات المخصصة
Customer,العميل
Daily,بند واجهة
Dashboard,لوحة معلومات
Delete,حذف
Delete local backups older than (days),بند واجهة
Design & quantities (BOQ),التصميم والكميات (جدول الكميات)
Desk,المكتب
Development Budget,ميزانية التطوير
Development Project,مشروع تطوير
Development Project Register,سجل مشاريع التطوير
Development project register,سجل مشاريع التطوير
Documents & Integration,المستندات والتكامل
E-Invoice,الفاتورة الإلكترونية
Edit,تعديل
Education,التعليم
Email notifications,البريد الإلكتروني إشعارات
Enable and authorize Google Drive under Integrations → Google Drive first.,بند واجهة
Enabled,مفعّل
Engineering Consulting,الاستشارات الهندسية
